country,region,profile,guidelines,sota,person,blue_justice,organization,case
Afghanistan,Asia & Oceania,1,0,0,0,0,0,0
Albania,Europe,0,0,1,0,0,0,0
Algeria,Africa,1,0,1,0,0,1,0
Andorra,Europe,0,0,0,0,0,0,0
Angola,Africa,0,0,1,0,0,1,0
Anguilla,Latin America & The Caribbean,0,0,3,0,0,0,0
Antigua and Barbuda,Latin America & The Caribbean,0,0,0,0,0,0,0
Argentina,Latin America & The Caribbean,1,0,14,4,0,4,0
Armenia,Europe,0,0,0,0,0,0,0
Australia,Asia & Oceania,4,0,5,9,1,4,0
Austria,Europe,0,0,1,0,0,0,0
Azerbaijan,Asia & Oceania,0,0,0,0,0,0,0
Bahamas,Latin America & The Caribbean,1,0,1,0,0,0,0
Bahrain,Asia & Oceania,0,0,0,0,0,0,0
Bangladesh,Asia & Oceania,6,1,27,3,2,2,0
Barbados,Latin America & The Caribbean,0,0,5,3,0,0,0
Belarus,Europe,0,0,0,0,0,0,0
Belgium,Europe,1,0,1,12,0,3,0
Belize,Latin America & The Caribbean,2,0,9,2,0,2,0
Benin,Africa,1,0,0,0,0,0,0
Bhutan,Asia & Oceania,0,0,1,0,0,0,0
Bolivia,Latin America & The Caribbean,1,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0
Botswana,Africa,0,0,2,0,0,0,0
Brazil,Latin America & The Caribbean,18,2,61,31,3,8,0
Brunei,Asia & Oceania,0,0,0,0,0,0,0
Bulgaria,Europe,0,0,0,0,0,1,0
Burkina Faso,Africa,0,0,0,0,0,0,0
Burundi,Africa,0,0,0,0,0,0,0
Cambodia,Asia & Oceania,2,1,9,2,0,2,0
Cameroon,Africa,1,0,2,0,0,0,0
Canada,North America,21,0,115,80,2,8,0
Cabo Verde,Africa,1,0,2,0,0,0,0
Central African Republic,Africa,0,0,0,0,0,0,0
Chad,Africa,0,0,0,0,0,0,0
Chile,Latin America & The Caribbean,2,0,35,1,2,1,0
China,Asia & Oceania,1,0,0,1,0,0,0
Colombia,Latin America & The Caribbean,7,1,42,14,3,5,0
Comoros,Africa,1,0,1,0,0,0,0
Congo,Africa,0,0,2,0,0,0,0
Cook Islands,Asia & Oceania,0,0,1,0,0,0,0
Costa Rica,Latin America & The Caribbean,0,1,13,2,1,4,0
Cote d'Ivoire,Africa,1,0,4,0,0,0,0
Croatia,Europe,0,0,5,0,0,0,0
Cuba,Latin America & The Caribbean,0,0,1,0,0,0,0
Cyprus,Europe,1,0,2,0,0,0,0
Czechia,Europe,0,0,0,0,0,0,0
Democratic People's Republic of Korea,Asia & Oceania,0,0,2,0,0,0,0
Denmark,Europe,1,0,3,4,0,5,0
Djibouti,Africa,0,0,0,0,0,0,0
Dominica,Latin America & The Caribbean,0,0,2,0,0,0,0
Dominican Republic,Latin America & The Caribbean,0,0,3,0,0,0,0
Ecuador,Latin America & The Caribbean,4,0,12,6,1,4,0
Egypt,Africa,1,0,0,1,0,0,0
El Salvador,Latin America & The Caribbean,1,0,0,0,0,1,0
Equatorial Guinea,Africa,0,0,1,0,0,0,0
Eritrea,Africa,1,0,0,0,0,0,0
Estonia,Europe,0,0,10,1,0,5,0
Ethiopia,Africa,0,0,2,0,0,0,0
Faroe Islands,Europe,0,0,1,0,0,0,0
Fiji,Asia & Oceania,0,1,7,1,0,1,0
Finland,Europe,1,0,10,1,0,3,0
France,Europe,3,0,17,12,0,6,0
French Guiana,Latin America & The Caribbean,0,0,1,0,0,0,0
Gabon,Africa,0,0,0,0,0,0,0
Gambia,Africa,1,0,1,0,0,0,0
Georgia,Europe,0,0,0,0,0,0,0
Germany,Europe,0,0,5,6,0,2,0
Ghana,Africa,10,0,10,4,0,0,0
Greece,Europe,5,0,9,3,0,1,0
Greenland,Europe,2,0,0,0,0,0,0
Grenada,Latin America & The Caribbean,0,0,5,0,0,0,0
Guadeloupe,Latin America & The Caribbean,0,0,1,0,0,0,0
Guatemala,Latin America & The Caribbean,1,0,1,0,0,1,0
Guinea,Africa,1,0,2,0,0,0,0
Guinea-Bissau,Africa,2,0,8,0,0,0,0
Guyana,Latin America & The Caribbean,0,0,0,0,0,0,0
Haiti,Latin America & The Caribbean,0,0,0,0,0,0,0
Honduras,Latin America & The Caribbean,0,0,3,0,0,1,0
Hong Kong,Asia & Oceania,0,0,2,0,0,0,0
Hungary,Europe,0,0,0,0,0,0,0
Iceland,Europe,2,0,10,1,0,0,0
India,Asia & Oceania,5,20,52,17,0,8,0
Indonesia,Asia & Oceania,10,0,20,4,1,5,0
Iran (Islamic Republic of),Asia & Oceania,1,0,3,1,0,0,0
Iraq,Asia & Oceania,0,0,0,0,0,0,0
Ireland,Europe,1,0,7,0,0,1,0
Israel,Asia & Oceania,0,0,0,0,0,0,0
Italy,Europe,2,0,16,6,0,1,0
Jamaica,Latin America & The Caribbean,2,0,10,0,1,0,0
Japan,Asia & Oceania,2,0,3,2,1,0,0
Jordan,Asia & Oceania,0,0,0,0,0,0,0
Kazakhstan,Asia & Oceania,0,0,0,0,0,0,0
Kenya,Africa,1,0,27,3,0,2,0
