issf_core_id,market_share,additional,country
2128,,,Thailand
2129,,,India
2130,Sold in local markets,46,Greece
2130,Sold to outside markets,51,Greece
2131,,,Tanzania
2132,,,Peru
2134,Sold in local markets,90,Brazil
2135,,,Thailand
2136,Sold in local markets,99,Spain
2136,Going to non-food uses,1,Spain
2137,Sold in local markets,38,South Africa
2137,Sold to outside markets,21,South Africa
2139,,,Philippines
2140,Sold to outside markets,5,Brazil
2141,,,Thailand
2142,,,Thailand
2143,,,Canada
2144,,,Cambodia
2159,,,New Caledonia
2169,,,Colombia
2208,Sold to outside markets,23,Ecuador
2208,Other,76,Ecuador
2213,Retained for household consumption and given to family/friends,1,Nigeria
2213,Sold in local markets,90,Nigeria
2213,Sold to outside markets,5,Nigeria
2213,Other,1,Nigeria
2223,,,Thailand
2230,,,India
2239,Sold in local markets,,Ghana
2240,,,Ghana
2241,Sold in local markets,,Ghana
2278,,,Canada
2287,,,Mexico
2288,Retained for household consumption and given to family/friends,20,Brazil
2288,Sold in local markets,75,Brazil
2288,Sold to outside markets,5,Brazil
2289,Retained for household consumption and given to family/friends,,Ecuador
2289,Sold in local markets,,Ecuador
2295,Retained for household consumption and given to family/friends,,Senegal
2295,Sold in local markets,,Senegal
2297,,,#N/A
2303,Retained for household consumption and given to family/friends,10,Indonesia
2303,Sold in local markets,20,Indonesia
2305,Retained for household consumption and given to family/friends,5,Nepal
2305,Sold in local markets,84,Nepal
2305,Going to non-food uses,1,Nepal
2321,Retained for household consumption and given to family/friends,30,Colombia
2321,Sold in local markets,70,Colombia
2322,,,Chile
2323,,,Mexico
2324,,,Bahamas
2327,Sold in local markets,20,India
2327,Going to non-food uses,10,India
2334,Retained for household consumption and given to family/friends,,Chile
2334,Sold to outside markets,,Chile
2334,Going to non-food uses,,Chile
2335,,,Philippines
2340,Retained for household consumption and given to family/friends,,Solomon Is.
2341,Sold in local markets,50,Portugal
2341,Sold to outside markets,50,Portugal
2342,,,Cyprus
2343,Retained for household consumption and given to family/friends,20,Tanzania
2343,Sold in local markets,60,Tanzania
2343,Sold to outside markets,15,Tanzania
2343,Going to non-food uses,5,Tanzania
2354,Retained for household consumption and given to family/friends,,Greenland
2354,Sold in local markets,,Greenland
2354,Sold to outside markets,,Greenland
2360,Retained for household consumption and given to family/friends,,Brazil
2360,Sold in local markets,,Brazil
2360,Other,,Brazil
2365,Retained for household consumption and given to family/friends,15,Micronesia
2365,Sold in local markets,46,Micronesia
2365,Sold to outside markets,26,Micronesia
2365,Other,13,Micronesia
2370,Retained for household consumption and given to family/friends,,Maldives
2370,Sold in local markets,,Maldives
2370,Sold to outside markets,,Maldives
2371,Retained for household consumption and given to family/friends,,Mexico
2371,Sold in local markets,,Mexico
2371,Sold to outside markets,,Mexico
2376,Retained for household consumption and given to family/friends,,#N/A
2376,Sold in local markets,,#N/A
2376,Sold to outside markets,,#N/A
2378,Sold in local markets,,Indonesia
2380,Sold in local markets,,India
2380,Other,,India
2381,Retained for household consumption and given to family/friends,,Malawi
2382,Retained for household consumption and given to family/friends,,Tanzania
2382,Sold in local markets,,Tanzania
2382,Sold to outside markets,,Tanzania
2382,Going to non-food uses,,Tanzania
2384,Retained for household consumption and given to family/friends,,Mexico
2384,Sold in local markets,,Mexico
2384,Sold to outside markets,,Mexico
2384,Going to non-food uses,,Mexico
2385,Retained for household consumption and given to family/friends,,USA
2385,Sold in local markets,,USA
2385,Sold to outside markets,,USA
2385,Going to non-food uses,,USA
2385,Other,,USA
2386,Retained for household consumption and given to family/friends,,Belize
2386,Sold in local markets,,Belize
2386,Sold to outside markets,,Belize
2387,Sold in local markets,,Nicaragua
2387,Sold to outside markets,,Nicaragua
2388,Retained for household consumption and given to family/friends,,Jamaica
2388,Sold in local markets,,Jamaica
2388,Sold to outside markets,,Jamaica
2389,Retained for household consumption and given to family/friends,,South Africa
2389,Sold to outside markets,,South Africa
2389,Going to non-food uses,,South Africa
2390,Retained for household consumption and given to family/friends,,Japan
2390,Sold in local markets,,Japan
2390,Sold to outside markets,,Japan
2391,Retained for household consumption and given to family/friends,,Canada
2391,Sold in local markets,,Canada
2392,Retained for household consumption and given to family/friends,,USA
2399,Retained for household consumption and given to family/friends,,Mexico
2400,Retained for household consumption and given to family/friends,,Oman
2400,Sold to outside markets,,Oman
2403,Retained for household consumption and given to family/friends,,Guatemala
2403,Sold in local markets,,Guatemala
2404,Retained for household consumption and given to family/friends,,Thailand
2405,Retained for household consumption and given to family/friends,,Guinea-Bissau
2407,Sold in local markets,,Denmark
2407,Sold to outside markets,,Denmark
2408,Retained for household consumption and given to family/friends,,Brazil
2408,Sold in local markets,,Brazil
2408,Sold to outside markets,,Brazil
2409,Sold in local markets,,Argentina
2409,Sold to outside markets,,Argentina
2410,Retained for household consumption and given to family/friends,1,Canada
2410,Sold in local markets,1,Canada
2410,Sold to outside markets,98,Canada
2412,Going to non-food uses,100,Australia
2414,Sold in local markets,,Senegal
2414,Sold to outside markets,,Senegal
2415,Sold in local markets,25,South Korea
2415,Sold to outside markets,75,South Korea
2417,Sold in local markets,,Iceland
2417,Sold to outside markets,,Iceland
2418,,,#N/A
2419,Retained for household consumption and given to family/friends,50,Ireland
2419,Sold in local markets,50,Ireland
2420,Retained for household consumption and given to family/friends,,Norway
2420,Sold in local markets,,Norway
2420,Sold to outside markets,,Norway
2422,Retained for household consumption and given to family/friends,,Greenland
2422,Sold to outside markets,,Greenland
2424,Retained for household consumption and given to family/friends,,Colombia
2424,Sold in local markets,,Colombia
2425,Other,5,USA
2425,Other,32,USA
2425,Other,26,USA
2425,Other,6,USA
2425,Other,31,USA
2427,Retained for household consumption and given to family/friends,,Nigeria
2427,Sold in local markets,,Nigeria
2427,Sold to outside markets,,Nigeria
2427,Going to non-food uses,,Nigeria
2429,Retained for household consumption and given to family/friends,,Philippines
2429,Sold in local markets,,Philippines
2430,Retained for household consumption and given to family/friends,,Spain
2430,Sold in local markets,,Spain
2430,Sold to outside markets,,Spain
2431,Retained for household consumption and given to family/friends,,Thailand
2431,Sold in local markets,,Thailand
2432,,,South Africa
2433,Retained for household consumption and given to family/friends,,Canada
2433,Sold in local markets,,Canada
2433,Sold to outside markets,,Canada
2434,Retained for household consumption and given to family/friends,,Mexico
2436,Retained for household consumption and given to family/friends,,Colombia
