issf_core_id,geographic_scope_type,year,selected_theme_issue_id,theme_issue_value_id,theme_issue_id,theme_issue_category,country,region
1,Local,1975,1,102,180,Economic,USA,North America
1,Local,1975,2,116,181,Ecological,USA,North America
1,Local,1975,3,121,181,Ecological,USA,North America
1,Local,1975,4,123,182,Social/Cultural,USA,North America
1,Local,1975,5,132,182,Social/Cultural,USA,North America
1,Local,1975,6,128,182,Social/Cultural,USA,North America
1,Local,1975,7,135,183,Governance,USA,North America
1,Local,1975,8,137,183,Governance,USA,North America
1,Local,1975,9,138,183,Governance,USA,North America
1,Local,1975,10,143,183,Governance,USA,North America
2,Regional,2013,11,102,180,Economic,0,#N/A
2,Regional,2013,12,105,180,Economic,0,#N/A
2,Regional,2013,13,103,180,Economic,0,#N/A
2,Regional,2013,14,119,181,Ecological,0,#N/A
2,Regional,2013,15,127,182,Social/Cultural,0,#N/A
2,Regional,2013,16,135,183,Governance,0,#N/A
2,Regional,2013,17,138,183,Governance,0,#N/A
2,Regional,2013,18,141,183,Governance,0,#N/A
2,Regional,2013,19,140,183,Governance,0,#N/A
3,Sub-national,1975,20,103,180,Economic,USA,North America
3,Sub-national,1975,21,116,181,Ecological,USA,North America
3,Sub-national,1975,22,119,181,Ecological,USA,North America
3,Sub-national,1975,23,138,183,Governance,USA,North America
4,National,1976,24,102,180,Economic,USA,North America
4,National,1976,25,116,181,Ecological,USA,North America
4,National,1976,26,119,181,Ecological,USA,North America
4,National,1976,27,120,181,Ecological,USA,North America
4,National,1976,28,138,183,Governance,USA,North America
7,Sub-national,2011,64,102,180,Economic,USA,North America
7,Sub-national,2011,65,103,180,Economic,USA,North America
7,Sub-national,2011,66,112,180,Economic,USA,North America
7,Sub-national,2011,67,105,180,Economic,USA,North America
7,Sub-national,2011,68,119,181,Ecological,USA,North America
7,Sub-national,2011,69,117,181,Ecological,USA,North America
7,Sub-national,2011,70,128,182,Social/Cultural,USA,North America
7,Sub-national,2011,71,135,183,Governance,USA,North America
7,Sub-national,2011,72,137,183,Governance,USA,North America
7,Sub-national,2011,73,138,183,Governance,USA,North America
9,Local,2013,86,119,181,Ecological,United Kingdom,Europe
9,Local,2013,87,115,181,Ecological,United Kingdom,Europe
9,Local,2013,88,128,182,Social/Cultural,United Kingdom,Europe
9,Local,2013,89,137,183,Governance,United Kingdom,Europe
9,Local,2013,90,141,183,Governance,United Kingdom,Europe
9,Local,2013,91,141,183,Governance,United Kingdom,Europe
9,Local,2013,92,142,183,Governance,United Kingdom,Europe
9,Local,2013,93,143,183,Governance,United Kingdom,Europe
10,Local,2013,94,112,180,Economic,Italy,Europe
10,Local,2013,95,117,181,Ecological,Italy,Europe
10,Local,2013,96,114,181,Ecological,Italy,Europe
10,Local,2013,97,122,181,Ecological,Italy,Europe
10,Local,2013,98,117,181,Ecological,Italy,Europe
10,Local,2013,99,121,181,Ecological,Italy,Europe
11,Sub-national,2013,100,135,183,Governance,Sweden,Europe
11,Sub-national,2013,101,137,183,Governance,Sweden,Europe
11,Sub-national,2013,102,142,183,Governance,Sweden,Europe
12,Sub-national,2012,103,135,183,Governance,Spain,Europe
12,Sub-national,2012,104,141,183,Governance,Spain,Europe
12,Sub-national,2012,105,142,183,Governance,Spain,Europe
16,Local,1981,124,103,180,Economic,Canada,North America
16,Local,1981,125,105,180,Economic,Canada,North America
16,Local,1981,126,116,181,Ecological,Canada,North America
16,Local,1981,127,119,181,Ecological,Canada,North America
16,Local,1981,128,121,181,Ecological,Canada,North America
16,Local,1981,129,128,182,Social/Cultural,Canada,North America
16,Local,1981,130,147,182,Social/Cultural,Canada,North America
16,Local,1981,131,135,183,Governance,Canada,North America
16,Local,1981,132,137,183,Governance,Canada,North America
16,Local,1981,133,143,183,Governance,Canada,North America
17,Local,1985,134,112,180,Economic,Canada,North America
17,Local,1985,135,119,181,Ecological,Canada,North America
17,Local,1985,136,121,181,Ecological,Canada,North America
17,Local,1985,137,133,182,Social/Cultural,Canada,North America
17,Local,1985,138,135,183,Governance,Canada,North America
17,Local,1985,139,137,183,Governance,Canada,North America
17,Local,1985,140,138,183,Governance,Canada,North America
17,Local,1985,141,143,183,Governance,Canada,North America
17,Local,1985,142,141,183,Governance,Canada,North America
18,Sub-national,2002,143,102,180,Economic,Canada,North America
18,Sub-national,2002,143,102,180,Economic,USA,North America
18,Sub-national,2002,144,103,180,Economic,Canada,North America
18,Sub-national,2002,144,103,180,Economic,USA,North America
18,Sub-national,2002,145,123,182,Social/Cultural,Canada,North America
18,Sub-national,2002,145,123,182,Social/Cultural,USA,North America
18,Sub-national,2002,146,128,182,Social/Cultural,Canada,North America
18,Sub-national,2002,146,128,182,Social/Cultural,USA,North America
18,Sub-national,2002,147,128,182,Social/Cultural,Canada,North America
18,Sub-national,2002,147,128,182,Social/Cultural,USA,North America
18,Sub-national,2002,148,127,182,Social/Cultural,Canada,North America
18,Sub-national,2002,148,127,182,Social/Cultural,USA,North America
18,Sub-national,2002,149,135,183,Governance,Canada,North America
18,Sub-national,2002,149,135,183,Governance,USA,North America
18,Sub-national,2002,150,137,183,Governance,Canada,North America
18,Sub-national,2002,150,137,183,Governance,USA,North America
18,Sub-national,2002,151,141,183,Governance,Canada,North America
18,Sub-national,2002,151,141,183,Governance,USA,North America
18,Sub-national,2002,152,143,183,Governance,Canada,North America
18,Sub-national,2002,152,143,183,Governance,USA,North America
20,Sub-national,2013,157,103,180,Economic,Ireland,Europe
20,Sub-national,2013,157,103,180,Economic,United Kingdom,Europe
20,Sub-national,2013,158,145,180,Economic,Ireland,Europe
20,Sub-national,2013,158,145,180,Economic,United Kingdom,Europe
20,Sub-national,2013,159,123,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,159,123,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,160,128,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,160,128,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,161,125,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,161,125,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,162,127,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,162,127,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,163,127,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,163,127,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,164,132,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,164,132,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,165,126,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,165,126,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,166,127,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,166,127,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,167,128,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,167,128,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,168,128,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,168,128,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,169,133,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,169,133,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,170,147,182,Social/Cultural,Ireland,Europe
20,Sub-national,2013,170,147,182,Social/Cultural,United Kingdom,Europe
20,Sub-national,2013,171,135,183,Governance,Ireland,Europe
20,Sub-national,2013,171,135,183,Governance,United Kingdom,Europe
20,Sub-national,2013,172,141,183,Governance,Ireland,Europe
20,Sub-national,2013,172,141,183,Governance,United Kingdom,Europe
20,Sub-national,2013,173,142,183,Governance,Ireland,Europe
20,Sub-national,2013,173,142,183,Governance,United Kingdom,Europe
21,Local,2004,174,117,181,Ecological,USA,North America
21,Local,2004,175,128,182,Social/Cultural,USA,North America
21,Local,2004,176,133,182,Social/Cultural,USA,North America
23,Sub-national,2006,182,112,180,Economic,Canada,North America
23,Sub-national,2006,183,119,181,Ecological,Canada,North America
23,Sub-national,2006,184,120,181,Ecological,Canada,North America
23,Sub-national,2006,185,121,181,Ecological,Canada,North America
23,Sub-national,2006,186,123,182,Social/Cultural,Canada,North America
23,Sub-national,2006,187,128,182,Social/Cultural,Canada,North America
23,Sub-national,2006,188,133,182,Social/Cultural,Canada,North America
23,Sub-national,2006,189,140,183,Governance,Canada,North America
24,Sub-national,2010,190,103,180,Economic,USA,North America
24,Sub-national,2010,191,112,180,Economic,USA,North America
24,Sub-national,2010,192,123,182,Social/Cultural,USA,North America
24,Sub-national,2010,193,128,182,Social/Cultural,USA,North America
24,Sub-national,2010,194,132,182,Social/Cultural,USA,North America
24,Sub-national,2010,195,128,182,Social/Cultural,USA,North America
24,Sub-national,2010,196,127,182,Social/Cultural,USA,North America
24,Sub-national,2010,197,133,182,Social/Cultural,USA,North America
25,Sub-national,2008,198,112,180,Economic,Canada,North America
25,Sub-national,2008,199,105,180,Economic,Canada,North America
25,Sub-national,2008,200,121,181,Ecological,Canada,North America
25,Sub-national,2008,201,123,182,Social/Cultural,Canada,North America
25,Sub-national,2008,202,132,182,Social/Cultural,Canada,North America
25,Sub-national,2008,203,128,182,Social/Cultural,Canada,North America
25,Sub-national,2008,204,128,182,Social/Cultural,Canada,North America
25,Sub-national,2008,205,133,182,Social/Cultural,Canada,North America
27,Global,2005,210,112,180,Economic,0,#N/A
27,Global,2005,211,117,181,Ecological,0,#N/A
27,Global,2005,212,122,181,Ecological,0,#N/A
27,Global,2005,213,119,181,Ecological,0,#N/A
27,Global,2005,214,118,181,Ecological,0,#N/A
27,Global,2005,215,117,181,Ecological,0,#N/A
27,Global,2005,216,121,181,Ecological,0,#N/A
29,Sub-national,2005,229,112,180,Economic,Canada,North America
29,Sub-national,2005,229,112,180,Economic,USA,North America
29,Sub-national,2005,230,119,181,Ecological,Canada,North America
29,Sub-national,2005,230,119,181,Ecological,USA,North America
29,Sub-national,2005,231,120,181,Ecological,Canada,North America
29,Sub-national,2005,231,120,181,Ecological,USA,North America
29,Sub-national,2005,232,135,183,Governance,Canada,North America
29,Sub-national,2005,232,135,183,Governance,USA,North America
29,Sub-national,2005,233,137,183,Governance,Canada,North America
29,Sub-national,2005,233,137,183,Governance,USA,North America
30,Sub-national,2013,234,102,180,Economic,USA,North America
30,Sub-national,2013,235,112,180,Economic,USA,North America
30,Sub-national,2013,236,105,180,Economic,USA,North America
30,Sub-national,2013,237,119,181,Ecological,USA,North America
30,Sub-national,2013,238,117,181,Ecological,USA,North America
30,Sub-national,2013,239,135,183,Governance,USA,North America
30,Sub-national,2013,240,138,183,Governance,USA,North America
31,Sub-national,2010,241,117,181,Ecological,Italy,Europe
31,Sub-national,2010,242,119,181,Ecological,Italy,Europe
31,Sub-national,2010,243,121,181,Ecological,Italy,Europe
31,Sub-national,2010,244,123,182,Social/Cultural,Italy,Europe
31,Sub-national,2010,245,127,182,Social/Cultural,Italy,Europe
33,National,2010,256,137,183,Governance,United Kingdom,Europe
33,National,2010,257,141,183,Governance,United Kingdom,Europe
33,National,2010,258,141,183,Governance,United Kingdom,Europe
33,National,2010,259,142,183,Governance,United Kingdom,Europe
35,Regional,2000,270,123,182,Social/Cultural,0,#N/A
35,Regional,2000,271,125,182,Social/Cultural,0,#N/A
35,Regional,2000,272,132,182,Social/Cultural,0,#N/A
35,Regional,2000,273,128,182,Social/Cultural,0,#N/A
35,Regional,2000,274,133,182,Social/Cultural,0,#N/A
36,Sub-national,1986,275,102,180,Economic,Canada,North America
36,Sub-national,1986,276,145,180,Economic,Canada,North America
36,Sub-national,1986,277,119,181,Ecological,Canada,North America
36,Sub-national,1986,278,123,182,Social/Cultural,Canada,North America
36,Sub-national,1986,279,128,182,Social/Cultural,Canada,North America
36,Sub-national,1986,280,133,182,Social/Cultural,Canada,North America
40,Sub-national,2003,300,119,181,Ecological,USA,North America
40,Sub-national,2003,301,117,181,Ecological,USA,North America
40,Sub-national,2003,302,120,181,Ecological,USA,North America
40,Sub-national,2003,303,123,182,Social/Cultural,USA,North America
40,Sub-national,2003,304,124,182,Social/Cultural,USA,North America
40,Sub-national,2003,305,128,182,Social/Cultural,USA,North America
40,Sub-national,2003,306,135,183,Governance,USA,North America
40,Sub-national,2003,307,137,183,Governance,USA,North America
40,Sub-national,2003,308,138,183,Governance,USA,North America
40,Sub-national,2003,309,143,183,Governance,USA,North America
43,Sub-national,2009,322,102,180,Economic,Canada,North America
43,Sub-national,2009,323,103,180,Economic,Canada,North America
43,Sub-national,2009,324,135,183,Governance,Canada,North America
43,Sub-national,2009,325,142,183,Governance,Canada,North America
44,Local,2011,326,102,180,Economic,Canada,North America
44,Local,2011,327,103,180,Economic,Canada,North America
44,Local,2011,328,112,180,Economic,Canada,North America
44,Local,2011,329,119,181,Ecological,Canada,North America
44,Local,2011,330,119,181,Ecological,Canada,North America
44,Local,2011,331,123,182,Social/Cultural,Canada,North America
44,Local,2011,332,132,182,Social/Cultural,Canada,North America
44,Local,2011,333,128,182,Social/Cultural,Canada,North America
44,Local,2011,334,128,182,Social/Cultural,Canada,North America
44,Local,2011,335,133,182,Social/Cultural,Canada,North America
44,Local,2011,336,135,183,Governance,Canada,North America
44,Local,2011,337,137,183,Governance,Canada,North America
44,Local,2011,338,138,183,Governance,Canada,North America
44,Local,2011,339,143,183,Governance,Canada,North America
44,Local,2011,340,143,183,Governance,Canada,North America
45,National,2010,341,119,181,Ecological,Canada,North America
45,National,2010,342,117,181,Ecological,Canada,North America
45,National,2010,343,143,183,Governance,Canada,North America
47,Sub-national,2005,359,102,180,Economic,USA,North America
47,Sub-national,2005,360,103,180,Economic,USA,North America
47,Sub-national,2005,361,105,180,Economic,USA,North America
47,Sub-national,2005,362,105,180,Economic,USA,North America
47,Sub-national,2005,363,127,182,Social/Cultural,USA,North America
47,Sub-national,2005,364,128,182,Social/Cultural,USA,North America
47,Sub-national,2005,365,135,183,Governance,USA,North America
47,Sub-national,2005,366,138,183,Governance,USA,North America
49,Regional,2007,378,112,180,Economic,0,#N/A
49,Regional,2007,379,103,180,Economic,0,#N/A
49,Regional,2007,380,114,181,Ecological,0,#N/A
49,Regional,2007,381,119,181,Ecological,0,#N/A
49,Regional,2007,382,123,182,Social/Cultural,0,#N/A
49,Regional,2007,383,128,182,Social/Cultural,0,#N/A
49,Regional,2007,384,128,182,Social/Cultural,0,#N/A
50,Sub-national,2008,385,135,183,Governance,Canada,North America
50,Sub-national,2008,386,138,183,Governance,Canada,North America
50,Sub-national,2008,387,142,183,Governance,Canada,North America
50,Sub-national,2008,388,143,183,Governance,Canada,North America
50,Sub-national,2008,389,140,183,Governance,Canada,North America
51,Local,2014,390,103,180,Economic,Ireland,Europe
51,Local,2014,391,145,180,Economic,Ireland,Europe
51,Local,2014,392,119,181,Ecological,Ireland,Europe
51,Local,2014,393,117,181,Ecological,Ireland,Europe
51,Local,2014,394,121,181,Ecological,Ireland,Europe
51,Local,2014,395,123,182,Social/Cultural,Ireland,Europe
51,Local,2014,396,128,182,Social/Cultural,Ireland,Europe
51,Local,2014,397,127,182,Social/Cultural,Ireland,Europe
51,Local,2014,398,132,182,Social/Cultural,Ireland,Europe
51,Local,2014,399,126,182,Social/Cultural,Ireland,Europe
51,Local,2014,400,127,182,Social/Cultural,Ireland,Europe
51,Local,2014,401,128,182,Social/Cultural,Ireland,Europe
51,Local,2014,402,128,182,Social/Cultural,Ireland,Europe
51,Local,2014,403,127,182,Social/Cultural,Ireland,Europe
51,Local,2014,404,133,182,Social/Cultural,Ireland,Europe
51,Local,2014,405,147,182,Social/Cultural,Ireland,Europe
51,Local,2014,406,135,183,Governance,Ireland,Europe
51,Local,2014,407,141,183,Governance,Ireland,Europe
51,Local,2014,408,141,183,Governance,Ireland,Europe
51,Local,2014,409,142,183,Governance,Ireland,Europe
51,Local,2014,410,143,183,Governance,Ireland,Europe
53,Sub-national,1982,412,102,180,Economic,Canada,North America
53,Sub-national,1982,413,103,180,Economic,Canada,North America
53,Sub-national,1982,414,128,182,Social/Cultural,Canada,North America
53,Sub-national,1982,415,127,182,Social/Cultural,Canada,North America
53,Sub-national,1982,416,135,183,Governance,Canada,North America
55,Sub-national,1998,427,122,181,Ecological,Canada,North America
55,Sub-national,1998,427,122,181,Ecological,USA,North America
55,Sub-national,1998,428,119,181,Ecological,Canada,North America
55,Sub-national,1998,428,119,181,Ecological,USA,North America
55,Sub-national,1998,429,117,181,Ecological,Canada,North America
55,Sub-national,1998,429,117,181,Ecological,USA,North America
55,Sub-national,1998,430,140,183,Governance,Canada,North America
55,Sub-national,1998,430,140,183,Governance,USA,North America
57,Sub-national,1994,435,102,180,Economic,USA,North America
57,Sub-national,1994,436,103,180,Economic,USA,North America
57,Sub-national,1994,437,128,182,Social/Cultural,USA,North America
57,Sub-national,1994,438,135,183,Governance,USA,North America
57,Sub-national,1994,439,137,183,Governance,USA,North America
57,Sub-national,1994,440,141,183,Governance,USA,North America
58,National,2005,441,135,183,Governance,Australia,Asia & Oceania
58,National,2005,441,135,183,Governance,Chile,Latin America & The Caribbean
58,National,2005,441,135,183,Governance,Mexico,Latin America & The Caribbean
58,National,2005,441,135,183,Governance,USA,North America
58,National,2005,442,143,183,Governance,Australia,Asia & Oceania
58,National,2005,442,143,183,Governance,Chile,Latin America & The Caribbean
58,National,2005,442,143,183,Governance,Mexico,Latin America & The Caribbean
58,National,2005,442,143,183,Governance,USA,North America
58,National,2005,443,141,183,Governance,Australia,Asia & Oceania
58,National,2005,443,141,183,Governance,Chile,Latin America & The Caribbean
58,National,2005,443,141,183,Governance,Mexico,Latin America & The Caribbean
58,National,2005,443,141,183,Governance,USA,North America
58,National,2005,444,143,183,Governance,Australia,Asia & Oceania
58,National,2005,444,143,183,Governance,Chile,Latin America & The Caribbean
58,National,2005,444,143,183,Governance,Mexico,Latin America & The Caribbean
58,National,2005,444,143,183,Governance,USA,North America
58,National,2005,445,140,183,Governance,Australia,Asia & Oceania
58,National,2005,445,140,183,Governance,Chile,Latin America & The Caribbean
58,National,2005,445,140,183,Governance,Mexico,Latin America & The Caribbean
58,National,2005,445,140,183,Governance,USA,North America
59,Sub-national,1979,446,102,180,Economic,Canada,North America
59,Sub-national,1979,447,112,180,Economic,Canada,North America
59,Sub-national,1979,448,119,181,Ecological,Canada,North America
59,Sub-national,1979,449,143,183,Governance,Canada,North America
61,Sub-national,2004,454,119,181,Ecological,USA,North America
61,Sub-national,2004,455,135,183,Governance,USA,North America
61,Sub-national,2004,456,137,183,Governance,USA,North America
61,Sub-national,2004,457,142,183,Governance,USA,North America
61,Sub-national,2004,458,143,183,Governance,USA,North America
62,Regional,2005,459,102,180,Economic,0,#N/A
62,Regional,2005,460,103,180,Economic,0,#N/A
62,Regional,2005,461,119,181,Ecological,0,#N/A
62,Regional,2005,462,117,181,Ecological,0,#N/A
64,Sub-national,2011,467,102,180,Economic,USA,North America
64,Sub-national,2011,468,112,180,Economic,USA,North America
64,Sub-national,2011,469,119,181,Ecological,USA,North America
64,Sub-national,2011,470,138,183,Governance,USA,North America
64,Sub-national,2011,471,141,183,Governance,USA,North America
64,Sub-national,2011,472,142,183,Governance,USA,North America
64,Sub-national,2011,473,143,183,Governance,USA,North America
64,Sub-national,2011,474,140,183,Governance,USA,North America
67,Sub-national,2008,484,119,181,Ecological,USA,North America
67,Sub-national,2008,485,135,183,Governance,USA,North America
67,Sub-national,2008,486,137,183,Governance,USA,North America
67,Sub-national,2008,487,143,183,Governance,USA,North America
70,Sub-national,1982,500,135,183,Governance,USA,North America
70,Sub-national,1982,501,137,183,Governance,USA,North America
70,Sub-national,1982,502,141,183,Governance,USA,North America
70,Sub-national,1982,503,142,183,Governance,USA,North America
70,Sub-national,1982,504,143,183,Governance,USA,North America
71,Sub-national,1984,505,102,180,Economic,USA,North America
71,Sub-national,1984,506,103,180,Economic,USA,North America
74,Global,2004,516,122,181,Ecological,0,#N/A
74,Global,2004,517,119,181,Ecological,0,#N/A
74,Global,2004,518,117,181,Ecological,0,#N/A
74,Global,2004,519,135,183,Governance,0,#N/A
74,Global,2004,520,137,183,Governance,0,#N/A
74,Global,2004,521,141,183,Governance,0,#N/A
74,Global,2004,522,142,183,Governance,0,#N/A
76,Sub-national,2012,527,119,181,Ecological,Italy,Europe
76,Sub-national,2012,528,117,181,Ecological,Italy,Europe
76,Sub-national,2012,529,120,181,Ecological,Italy,Europe
76,Sub-national,2012,530,121,181,Ecological,Italy,Europe
76,Sub-national,2012,531,132,182,Social/Cultural,Italy,Europe
76,Sub-national,2012,532,133,182,Social/Cultural,Italy,Europe
80,Sub-national,2013,552,117,181,Ecological,Canada,North America
80,Sub-national,2013,552,117,181,Ecological,USA,North America
80,Sub-national,2013,553,119,181,Ecological,Canada,North America
80,Sub-national,2013,553,119,181,Ecological,USA,North America
81,Sub-national,2007,554,123,182,Social/Cultural,USA,North America
81,Sub-national,2007,555,132,182,Social/Cultural,USA,North America
81,Sub-national,2007,556,128,182,Social/Cultural,USA,North America
81,Sub-national,2007,557,133,182,Social/Cultural,USA,North America
81,Sub-national,2007,558,135,183,Governance,USA,North America
82,Local,1978,559,123,182,Social/Cultural,Canada,North America
82,Local,1978,560,128,182,Social/Cultural,Canada,North America
82,Local,1978,561,132,182,Social/Cultural,Canada,North America
82,Local,1978,562,126,182,Social/Cultural,Canada,North America
