issf_core_id,category,,year,country
625,Economic,National,1973,Indonesia
625,Governance,National,1973,Indonesia
1033,Economic,National,1973,India
1033,Economic,National,1973,India
1033,Social/Cultural,National,1973,India
1033,Governance,National,1973,India
1,Economic,Local,1975,United States of America
1,Ecological,Local,1975,United States of America
1,Ecological,Local,1975,United States of America
1,Social/Cultural,Local,1975,United States of America
1,Social/Cultural,Local,1975,United States of America
1,Social/Cultural,Local,1975,United States of America
1,Governance,Local,1975,United States of America
1,Governance,Local,1975,United States of America
1,Governance,Local,1975,United States of America
1,Governance,Local,1975,United States of America
3,Economic,Sub-national,1975,United States of America
3,Ecological,Sub-national,1975,United States of America
3,Ecological,Sub-national,1975,United States of America
3,Governance,Sub-national,1975,United States of America
4,Economic,National,1976,United States of America
4,Ecological,National,1976,United States of America
4,Ecological,National,1976,United States of America
4,Ecological,National,1976,United States of America
4,Governance,National,1976,United States of America
140,Ecological,Sub-national,1977,United States of America
140,Ecological,Sub-national,1977,United States of America
140,Governance,Sub-national,1977,United States of America
140,Governance,Sub-national,1977,United States of America
221,Economic,Local,1977,Kenya
221,Ecological,Local,1977,Kenya
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
82,Social/Cultural,Local,1978,Canada
59,Economic,Sub-national,1979,Canada
59,Economic,Sub-national,1979,Canada
59,Ecological,Sub-national,1979,Canada
59,Governance,Sub-national,1979,Canada
77,Social/Cultural,Sub-national,1979,Canada
77,Social/Cultural,Sub-national,1979,Canada
77,Governance,Sub-national,1979,Canada
77,Governance,Sub-national,1979,Canada
77,Governance,Sub-national,1979,Canada
77,Governance,Sub-national,1979,Canada
234,Ecological,Sub-national,1979,Canada
234,Social/Cultural,Sub-national,1979,Canada
345,Ecological,Sub-national,1979,Zambia
345,Ecological,Sub-national,1979,Zambia
202,Ecological,Local,1980,United States of America
202,Governance,Local,1980,United States of America
202,Governance,Local,1980,United States of America
583,Economic,National,1980,Thailand
583,Ecological,National,1980,Thailand
583,Social/Cultural,National,1980,Thailand
583,Social/Cultural,National,1980,Thailand
583,Governance,National,1980,Thailand
16,Economic,Local,1981,Canada
16,Economic,Local,1981,Canada
16,Ecological,Local,1981,Canada
16,Ecological,Local,1981,Canada
16,Ecological,Local,1981,Canada
16,Social/Cultural,Local,1981,Canada
16,Social/Cultural,Local,1981,Canada
16,Governance,Local,1981,Canada
16,Governance,Local,1981,Canada
16,Governance,Local,1981,Canada
180,Social/Cultural,Local,1981,United States of America
180,Social/Cultural,Local,1981,United States of America
180,Social/Cultural,Local,1981,United States of America
180,Governance,Local,1981,United States of America
180,Governance,Local,1981,United States of America
180,Governance,Local,1981,United States of America
180,Governance,Local,1981,United States of America
937,Social/Cultural,Local,1981,Ireland
937,Social/Cultural,Local,1981,Ireland
53,Economic,Sub-national,1982,Canada
53,Economic,Sub-national,1982,Canada
53,Social/Cultural,Sub-national,1982,Canada
53,Social/Cultural,Sub-national,1982,Canada
53,Governance,Sub-national,1982,Canada
70,Governance,Sub-national,1982,United States of America
70,Governance,Sub-national,1982,United States of America
70,Governance,Sub-national,1982,United States of America
70,Governance,Sub-national,1982,United States of America
70,Governance,Sub-national,1982,United States of America
90,Social/Cultural,Sub-national,1982,United States of America
90,Social/Cultural,Sub-national,1982,United States of America
90,Social/Cultural,Sub-national,1982,United States of America
90,Governance,Sub-national,1982,United States of America
90,Governance,Sub-national,1982,United States of America
90,Governance,Sub-national,1982,United States of America
387,Social/Cultural,Sub-national,1982,United States of America
387,Social/Cultural,Sub-national,1982,United States of America
387,Social/Cultural,Sub-national,1982,United States of America
28,Economic,Local,1983,Canada
28,Economic,Local,1983,Canada
28,Economic,Local,1983,Canada
28,Economic,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
28,Social/Cultural,Local,1983,Canada
111,Economic,Sub-national,1983,Canada
111,Ecological,Sub-national,1983,Canada
111,Governance,Sub-national,1983,Canada
554,Social/Cultural,Sub-national,1983,Canada
71,Economic,Sub-national,1984,United States of America
71,Economic,Sub-national,1984,United States of America
183,Economic,Sub-national,1984,United States of America
183,Economic,Sub-national,1984,United States of America
183,Economic,Sub-national,1984,United States of America
183,Governance,Sub-national,1984,United States of America
183,Governance,Sub-national,1984,United States of America
183,Governance,Sub-national,1984,United States of America
388,Social/Cultural,Sub-national,1984,Canada
388,Social/Cultural,Sub-national,1984,Canada
388,Social/Cultural,Sub-national,1984,Canada
388,Social/Cultural,Sub-national,1984,Canada
388,Social/Cultural,Sub-national,1984,Canada
388,Social/Cultural,Sub-national,1984,Canada
13,Economic,Sub-national,1985,Canada
13,Economic,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
13,Social/Cultural,Sub-national,1985,Canada
17,Economic,Local,1985,Canada
17,Ecological,Local,1985,Canada
17,Ecological,Local,1985,Canada
17,Social/Cultural,Local,1985,Canada
17,Governance,Local,1985,Canada
17,Governance,Local,1985,Canada
17,Governance,Local,1985,Canada
17,Governance,Local,1985,Canada
17,Governance,Local,1985,Canada
174,Social/Cultural,Sub-national,1985,United States of America
174,Social/Cultural,Sub-national,1985,United States of America
174,Social/Cultural,Sub-national,1985,United States of America
174,Governance,Sub-national,1985,United States of America
223,Economic,Sub-national,1985,Malawi
223,Ecological,Sub-national,1985,Malawi
360,Ecological,Sub-national,1985,Canada
360,Ecological,Sub-national,1985,Canada
360,Ecological,Sub-national,1985,Canada
360,Governance,Sub-national,1985,Canada
36,Economic,Sub-national,1986,Canada
36,Economic,Sub-national,1986,Canada
36,Ecological,Sub-national,1986,Canada
36,Social/Cultural,Sub-national,1986,Canada
36,Social/Cultural,Sub-national,1986,Canada
36,Social/Cultural,Sub-national,1986,Canada
134,Governance,Sub-national,1986,Canada
134,Governance,Sub-national,1986,Canada
134,Governance,Sub-national,1986,Canada
134,Governance,Sub-national,1986,Canada
185,Social/Cultural,Sub-national,1986,Canada
185,Social/Cultural,Sub-national,1986,Canada
185,Social/Cultural,Sub-national,1986,Canada
201,Economic,Sub-national,1986,Canada
201,Social/Cultural,Sub-national,1986,Canada
201,Social/Cultural,Sub-national,1986,Canada
348,Ecological,Sub-national,1986,Canada
348,Ecological,Sub-national,1986,Canada
914,Governance,National,1986,Turkey
914,Governance,National,1986,Turkey
914,Governance,National,1986,Turkey
914,Governance,National,1986,Turkey
3753,Economic,National,1986,Bangladesh
3753,Ecological,National,1986,Bangladesh
3753,Social/Cultural,National,1986,Bangladesh
3753,Governance,National,1986,Bangladesh
294,Ecological,Sub-national,1987,Canada
294,Ecological,Sub-national,1987,Canada
974,Governance,National,1987,Barbados
974,Governance,National,1987,Barbados
974,Governance,National,1987,Barbados
1040,Economic,Local,1987,India
1040,Social/Cultural,Local,1987,India
113,Governance,Sub-national,1988,Canada
334,Ecological,National,1988,Canada
334,Social/Cultural,National,1988,Canada
334,Social/Cultural,National,1988,Canada
363,Ecological,Local,1988,Canada
363,Ecological,Local,1988,Canada
363,Ecological,Local,1988,Canada
382,Social/Cultural,Sub-national,1988,United States of America
439,Economic,National,1989,Senegal
439,Social/Cultural,National,1989,Senegal
439,Social/Cultural,National,1989,Senegal
